"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","LIFEEXP65","WOMEN","YR","A","2017",18.4,
"HUN","LIFEEXP65","WOMEN","YR","A","2018",18.5,
"ISL","LIFEEXP65","MEN","YR","A","2015",19.5,
"ISL","LIFEEXP65","MEN","YR","A","2016",18.7,
"ISL","LIFEEXP65","MEN","YR","A","2017",19.8,
"ISL","LIFEEXP65","MEN","YR","A","2018",20,
"ISL","LIFEEXP65","WOMEN","YR","A","2015",21.3,
"ISL","LIFEEXP65","WOMEN","YR","A","2016",21.3,
"ISL","LIFEEXP65","WOMEN","YR","A","2017",21.4,
"ISL","LIFEEXP65","WOMEN","YR","A","2018",21.7,
"IRL","LIFEEXP65","MEN","YR","A","2015",18.4,
"IRL","LIFEEXP65","MEN","YR","A","2016",18.6,
"IRL","LIFEEXP65","MEN","YR","A","2017",19,
"IRL","LIFEEXP65","MEN","YR","A","2018",19.1,
"IRL","LIFEEXP65","WOMEN","YR","A","2015",21,
"IRL","LIFEEXP65","WOMEN","YR","A","2016",21.1,
"IRL","LIFEEXP65","WOMEN","YR","A","2017",21.4,
"IRL","LIFEEXP65","WOMEN","YR","A","2018",21.6,
"ITA","LIFEEXP65","MEN","YR","A","2015",18.9,
"ITA","LIFEEXP65","MEN","YR","A","2016",19.4,
"ITA","LIFEEXP65","MEN","YR","A","2017",19.2,
"ITA","LIFEEXP65","MEN","YR","A","2018",19.6,
"ITA","LIFEEXP65","WOMEN","YR","A","2015",22.2,
"ITA","LIFEEXP65","WOMEN","YR","A","2016",22.9,
"ITA","LIFEEXP65","WOMEN","YR","A","2017",22.4,
"ITA","LIFEEXP65","WOMEN","YR","A","2018",22.8,
"JPN","LIFEEXP65","MEN","YR","A","2015",19.4,
"JPN","LIFEEXP65","MEN","YR","A","2016",19.6,
"JPN","LIFEEXP65","MEN","YR","A","2017",19.6,
"JPN","LIFEEXP65","WOMEN","YR","A","2015",24.2,
"JPN","LIFEEXP65","WOMEN","YR","A","2016",24.4,
"JPN","LIFEEXP65","WOMEN","YR","A","2017",24.4,
"KOR","LIFEEXP65","MEN","YR","A","2015",18.2,
"KOR","LIFEEXP65","MEN","YR","A","2016",18.4,
"KOR","LIFEEXP65","MEN","YR","A","2017",18.6,
"KOR","LIFEEXP65","MEN","YR","A","2018",18.7,
"KOR","LIFEEXP65","WOMEN","YR","A","2015",22.4,
